,city,lat,lng,max temp,humidity,cloudiness,wind_speed,country,date
382,Alice Springs,-23.7,133.8833,53.15,66,0,6.91,AU,1689895207
383,Salina Cruz,16.1667,-95.2,92.77,50,9,21.54,MX,1689895209
384,El Charco,2.4769,-78.1105,80.49,88,82,6.6,CO,1689895210
385,Taltal,-25.4,-70.4833,61.5,82,78,4.0,CL,1689895211
386,Sabang,5.8933,95.3214,83.52,73,98,21.61,ID,1689895212
387,Ceeldheer,3.8488,47.1806,76.89,84,95,23.42,SO,1689895213
388,Ad Dilam,23.9915,47.1627,93.61,11,92,3.4,SA,1689895215
389,Yangjiang,21.85,111.9667,79.84,90,87,1.48,CN,1689895216
390,Coquimbo,-29.9533,-71.3436,56.93,94,100,6.91,CL,1689894921
391,Bonthe,7.5264,-12.505,77.22,88,100,7.43,SL,1689895218
392,Halifax,44.6453,-63.5724,73.47,90,100,5.99,CA,1689894973
393,Cooper’s Town,26.8667,-77.5167,86.18,71,99,7.54,BS,1689895221
394,Christchurch,-43.5333,172.6333,47.91,74,40,4.61,NZ,1689895222
395,Arvayheer,46.2639,102.775,57.47,75,3,3.65,MN,1689895223
396,Port Blair,11.6667,92.75,81.18,84,100,16.37,IN,1689895225
397,Omdurman,15.6445,32.4777,94.41,33,94,16.53,SD,1689895226
398,Douz,33.4663,9.0203,93.54,16,0,12.93,TN,1689895227
399,Rābigh,22.7986,39.0349,86.67,65,59,7.43,SA,1689895228
400,Rancho Murieta,38.5019,-121.0947,106.65,19,0,6.91,US,1689895230
401,Labytnangi,66.6572,66.4183,62.51,92,74,1.9,RU,1689895231
402,Greenville,35.6127,-77.3663,87.82,78,0,0.0,US,1689895170
403,Cockburn Town,21.4612,-71.1419,82.4,81,99,20.0,TC,1689895213
404,Brookings,44.3114,-96.7984,77.25,57,40,8.05,US,1689895208
405,Palopo,-2.9996,120.1921,76.33,85,84,1.79,ID,1689895236
406,Xinzhou,38.4092,112.7333,70.02,82,38,0.76,CN,1689895237
407,Lamu,-2.2717,40.902,79.02,85,42,18.23,KE,1689895238
408,Newman,37.3138,-121.0208,102.54,7,0,4.59,US,1689895094
409,Horsham,51.064,-0.3272,63.01,68,0,5.75,GB,1689895102
410,Kapiri Mposhi,-13.9652,28.6809,56.16,60,1,4.83,ZM,1689895242
411,Dalandzadgad,43.5708,104.425,61.18,65,97,8.41,MN,1689895243
412,Baicheng,45.6167,122.8167,73.04,80,100,2.8,CN,1689895244
413,Santo Antônio do Içá,-3.1022,-67.9397,79.09,78,77,1.41,BR,1689895246
414,Beïnamar,8.6698,15.3813,72.93,87,75,4.18,TD,1689895247
415,Korla,41.7597,86.1469,86.97,26,80,10.51,CN,1689895120
416,Tomé Açu,-2.4189,-48.1522,80.46,62,23,4.07,BR,1689894989
417,Paramonga,-10.6667,-77.8333,68.52,77,10,8.21,PE,1689895250
418,Korsakov,46.6328,142.7813,67.84,88,54,7.56,RU,1689895252
419,Melo,-32.3667,-54.1833,55.78,97,99,7.63,UY,1689895253
420,Nemuro,43.3236,145.575,59.59,90,4,8.08,JP,1689895255
421,Kattivākkam,13.2167,80.3167,88.07,64,100,14.47,IN,1689895256
422,Dhidhdhoo,6.8833,73.1,82.76,80,100,16.13,MV,1689895257
423,Nabire,-3.3667,135.4833,79.23,86,83,3.38,ID,1689895258
424,Mirador,-6.3708,-44.3631,75.34,32,1,3.76,BR,1689895260
425,Las Palmas,28.4204,-14.0131,70.59,73,20,18.41,ES,1689895261
426,Al Mindak,20.1588,41.2834,78.4,15,97,8.05,SA,1689895262
427,Hotan,37.0997,79.9269,82.49,17,54,3.96,CN,1689895264
428,Chinoz,40.9364,68.7697,73.51,32,23,3.04,UZ,1689895265
429,Mariental,-24.6333,17.9667,49.3,30,3,5.97,NA,1689895266
430,Khandyga,62.6667,135.6,65.05,93,97,6.33,RU,1689895267
431,Portland,45.5234,-122.6762,91.53,42,20,5.75,US,1689894673
432,Ghadames,30.1337,9.5007,94.01,12,0,8.55,LY,1689895270
433,Castillos,-34.1667,-53.8333,54.93,91,99,6.69,UY,1689895271
434,Quepos,9.4236,-84.1652,84.22,78,96,2.62,CR,1689894979
435,Boyolangu,-8.1181,111.8935,69.53,93,45,1.9,ID,1689895274
436,Minturno,41.2576,13.7237,81.07,90,0,2.33,IT,1689895275
437,Gorontalo,0.5412,123.0595,77.43,88,7,3.98,ID,1689895276
438,Bonito,-21.1211,-56.4819,73.63,56,30,1.41,BR,1689895278
439,Riohacha,11.5444,-72.9072,88.36,59,6,18.32,CO,1689895039
440,South Houston,29.663,-95.2355,99.34,54,20,20.71,US,1689895280
441,Tommot,58.9564,126.2925,56.43,89,92,7.61,RU,1689895281
442,Ayoun El Atrous,16.6614,-9.6149,94.75,34,100,18.92,MR,1689895280
443,Atar,20.5169,-13.0499,99.55,18,5,8.52,MR,1689895284
444,Kayangel,8.0823,134.7173,83.79,78,99,17.31,PW,1689895285
445,San Juan,-31.5375,-68.5364,61.3,27,74,4.47,AR,1689895286
446,Al Jadīd,27.05,14.4,87.24,21,0,7.38,LY,1689895288
447,Tonalá,20.6167,-103.2333,83.32,34,75,0.0,MX,1689895289
448,Cherëmushki,52.8356,91.3944,64.56,95,100,3.65,RU,1689895290
449,Bamboo Flat,11.7,92.7167,81.23,84,100,16.17,IN,1689895292
450,Toppenish,46.3774,-120.3087,101.35,12,38,6.67,US,1689895167
451,Emmett,43.8735,-116.4993,103.89,16,1,12.73,US,1689895294
452,Nadi,-17.8,177.4167,84.2,65,20,4.61,FJ,1689895295
453,Galliano,29.4422,-90.2992,95.0,62,40,8.05,US,1689895296
454,Obuasi,6.206,-1.6619,70.86,99,50,2.55,GH,1689895298
455,Lospalos,-8.5186,127.0025,70.77,85,81,8.28,TL,1689895299
456,Cobija,-11.0267,-68.7692,80.78,69,20,3.44,BO,1689895301
457,Pākāla,13.4667,79.1167,79.41,60,100,15.59,IN,1689895302
458,Yeppoon,-23.1333,150.7333,69.26,66,1,3.96,AU,1689895304
459,Kununurra,-15.7667,128.7333,66.18,68,45,0.0,AU,1689895305
460,Cuajinicuilapa,16.4667,-98.4167,90.32,58,7,9.46,MX,1689895306
461,Ulladulla,-35.35,150.4667,56.52,56,24,8.23,AU,1689895307
